year_film,year_ceremony,category,film,name
1948,1949,MUSIC (Music Score of a Dramatic or Comedy Picture),The Red Shoes,Brian Easdale
1948,1949,MUSIC (Scoring of a Musical Picture),Easter Parade,"Johnny Green, Roger Edens"
1948,1949,MUSIC (Song),The Paleface,Music and Lyrics by Jay Livingston and Ray Evans
1948,1949,SHORT SUBJECT (Cartoon),The Little Orphan,"Fred Quimby, Producer"
1948,1949,SHORT SUBJECT (One-reel),Symphony of a City,"Edmund H. Reek, Producer"
1948,1949,SHORT SUBJECT (Two-reel),Seal Island,"Walt Disney, Producer"
1948,1949,SOUND RECORDING,The Snake Pit,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1948,1949,SPECIAL EFFECTS,Portrait of Jennie,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart"
1948,1949,WRITING (Motion Picture Story),The Search,"Richard Schweizer, David Wechsler"
1948,1949,WRITING (Screenplay),The Treasure of the Sierra Madre,John Huston
1949,1950,ACTOR,All the King's Men,Broderick Crawford
1949,1950,ACTOR IN A SUPPORTING ROLE,Twelve O'Clock High,Dean Jagger
1949,1950,ACTRESS,The Heiress,Olivia de Havilland
1949,1950,ACTRESS IN A SUPPORTING ROLE,All the King's Men,Mercedes McCambridge
1949,1950,ART DIRECTION (Black-and-White),The Heiress,"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri"
1949,1950,ART DIRECTION (Color),Little Women (1949),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore"
1949,1950,BEST MOTION PICTURE,All the King's Men,Robert Rossen Productions
1949,1950,CINEMATOGRAPHY (Black-and-White),Battleground,Paul C. Vogel
1949,1950,CINEMATOGRAPHY (Color),She Wore a Yellow Ribbon,Winton Hoch
1949,1950,COSTUME DESIGN (Black-and-White),The Heiress,"Edith Head, Gile Steele"
1949,1950,COSTUME DESIGN (Color),The Adventures of Don Juan,"Leah Rhodes, Travilla, Marjorie Best"
1949,1950,DIRECTING,A Letter to Three Wives,Joseph L. Mankiewicz
1949,1950,DOCUMENTARY (Feature),Daybreak in Udi,Crown Film Unit
1949,1950,DOCUMENTARY (Short Subject),A Chance to Live,"Richard de Rochemont, Producer"
1949,1950,DOCUMENTARY (Short Subject),So Much for So Little,"Edward Selzer, Producer"
1949,1950,FILM EDITING,Champion,Harry Gerstad
1949,1950,MUSIC (Music Score of a Dramatic or Comedy Picture),The Heiress,Aaron Copland
1949,1950,MUSIC (Scoring of a Musical Picture),On the Town,"Roger Edens, Lennie Hayton"
1949,1950,MUSIC (Song),Neptune's Daughter,Music and Lyrics by Frank Loesser
1949,1950,SHORT SUBJECT (Cartoon),For Scent-Imental Reasons,"Edward Selzer, Producer"
1949,1950,SHORT SUBJECT (One-reel),Aquatic House-Party,"Jack Eaton, Producer"
1949,1950,SHORT SUBJECT (Two-reel),Van Gogh,"Gaston Diehl and Robert Haessens, Producers"
1949,1950,SOUND RECORDING,Twelve O'Clock High,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1949,1950,SPECIAL EFFECTS,Mighty Joe Young (1949),ARKO Productions
1949,1950,WRITING (Motion Picture Story),The Stratton Story,Douglas Morrow
1949,1950,WRITING (Screenplay),A Letter to Three Wives,Joseph L. Mankiewicz
1949,1950,WRITING (Story and Screenplay),Battleground,Robert Pirosh
1950,1951,ACTOR,Cyrano de Bergerac (1950),José Ferrer
1950,1951,ACTOR IN A SUPPORTING ROLE,All about Eve,George Sanders
1950,1951,ACTRESS,Born Yesterday,Judy Holliday
1950,1951,ACTRESS IN A SUPPORTING ROLE,Harvey,Josephine Hull
1950,1951,ART DIRECTION (Black-and-White),Sunset Blvd.,"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer"
1950,1951,ART DIRECTION (Color),Samson and Delilah,"Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer"
1950,1951,BEST MOTION PICTURE,All about Eve,20th Century-Fox
1950,1951,CINEMATOGRAPHY (Black-and-White),The Third Man,Robert Krasker
1950,1951,CINEMATOGRAPHY (Color),King Solomon's Mines,Robert Surtees
1950,1951,COSTUME DESIGN (Black-and-White),All about Eve,"Edith Head, Charles LeMaire"
1950,1951,COSTUME DESIGN (Color),Samson and Delilah,"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling"
1950,1951,DIRECTING,All about Eve,Joseph L. Mankiewicz
1950,1951,DOCUMENTARY (Feature),The Titan: Story of Michelangelo,"Robert Snyder, Producer"
1950,1951,DOCUMENTARY (Short Subject),Why Korea?,"Edmund Reek, Producer"
1950,1951,FILM EDITING,King Solomon's Mines,"Ralph E. Winters, Conrad A. Nervig"
1950,1951,MUSIC (Music Score of a Dramatic or Comedy Picture),Sunset Blvd.,Franz Waxman
1950,1951,MUSIC (Scoring of a Musical Picture),Annie Get Your Gun,"Adolph Deutsch, Roger Edens"
1950,1951,MUSIC (Song),"Captain Carey, U.S.A.",Music and Lyrics by Ray Evans and Jay Livingston
1950,1951,SHORT SUBJECT (Cartoon),Gerald McBoing-Boing,"Stephen Bosustow, Producer"
1950,1951,SHORT SUBJECT (One-reel),Grandad of Races,"Gordon Hollingshead, Producer"
1950,1951,SHORT SUBJECT (Two-reel),In Beaver Valley,"Walt Disney, Producer"
1950,1951,SOUND RECORDING,All about Eve,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1950,1951,SPECIAL EFFECTS,Destination Moon,George Pal Productions
1950,1951,WRITING (Motion Picture Story),Panic in the Streets,"Edna Anhalt, Edward Anhalt"
1950,1951,WRITING (Screenplay),All about Eve,Joseph L. Mankiewicz
1950,1951,WRITING (Story and Screenplay),Sunset Blvd.,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr."
1951,1952,ACTOR,The African Queen,Humphrey Bogart
1951,1952,ACTOR IN A SUPPORTING ROLE,A Streetcar Named Desire,Karl Malden
1951,1952,ACTRESS,A Streetcar Named Desire,Vivien Leigh
1951,1952,ACTRESS IN A SUPPORTING ROLE,A Streetcar Named Desire,Kim Hunter
1951,1952,ART DIRECTION (Black-and-White),A Streetcar Named Desire,Art Direction:  Richard Day;  Set Decoration:  George James Hopkins
1951,1952,ART DIRECTION (Color),An American in Paris,"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason"
1951,1952,BEST MOTION PICTURE,An American in Paris,"Arthur Freed, Producer"
1951,1952,CINEMATOGRAPHY (Black-and-White),A Place in the Sun (1951),William C. Mellor
1951,1952,CINEMATOGRAPHY (Color),An American in Paris,Alfred Gilks; Ballet Photography by John Alton
1951,1952,COSTUME DESIGN (Black-and-White),A Place in the Sun (1951),Edith Head
1951,1952,COSTUME DESIGN (Color),An American in Paris,"Orry-Kelly, Walter Plunkett, Irene Sharaff"
1951,1952,DIRECTING,A Place in the Sun (1951),George Stevens
1951,1952,DOCUMENTARY (Feature),Kon-Tiki (1951),"Olle Nordemar, Producer"
1951,1952,DOCUMENTARY (Short Subject),Benjy,'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital'
1951,1952,FILM EDITING,A Place in the Sun (1951),William Hornbeck
1951,1952,MUSIC (Music Score of a Dramatic or Comedy Picture),A Place in the Sun (1951),Franz Waxman
1951,1952,MUSIC (Scoring of a Musical Picture),An American in Paris,"Johnny Green, Saul Chaplin"
1951,1952,MUSIC (Song),Here Comes the Groom,Music by Hoagy Carmichael; Lyrics by Johnny Mercer
1951,1952,SHORT SUBJECT (Cartoon),The Two Mouseketeers,"Fred Quimby, Producer"
1951,1952,SHORT SUBJECT (One-reel),World of Kids,"Robert Youngson, Producer"
1951,1952,SHORT SUBJECT (Two-reel),Nature's Half Acre,"Walt Disney, Producer"
1951,1952,SOUND RECORDING,The Great Caruso,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1951,1952,SPECIAL EFFECTS,When Worlds Collide,Paramount
1951,1952,WRITING (Motion Picture Story),Seven Days to Noon,"Paul Dehn, James Bernard"
1951,1952,WRITING (Screenplay),A Place in the Sun (1951),"Michael Wilson, Harry Brown"
1951,1952,WRITING (Story and Screenplay),An American in Paris,Alan Jay Lerner
1952,1953,ACTOR,High Noon,Gary Cooper
1952,1953,ACTOR IN A SUPPORTING ROLE,Viva Zapata!,Anthony Quinn
1952,1953,ACTRESS,"Come Back, Little Sheba",Shirley Booth
1952,1953,ACTRESS IN A SUPPORTING ROLE,The Bad and the Beautiful,Gloria Grahame
1952,1953,ART DIRECTION (Black-and-White),The Bad and the Beautiful,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason"
1952,1953,ART DIRECTION (Color),Moulin Rouge (1952),Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes
1952,1953,BEST MOTION PICTURE,The Greatest Show on Earth,"Cecil B. DeMille, Producer"
1952,1953,CINEMATOGRAPHY (Black-and-White),The Bad and the Beautiful,Robert Surtees
1952,1953,CINEMATOGRAPHY (Color),The Quiet Man,"Winton C. Hoch, Archie Stout"
1952,1953,COSTUME DESIGN (Black-and-White),The Bad and the Beautiful,Helen Rose
1952,1953,COSTUME DESIGN (Color),Moulin Rouge (1952),Marcel Vertes
1952,1953,DIRECTING,The Quiet Man,John Ford
1952,1953,DOCUMENTARY (Feature),The Sea around Us,"Irwin Allen, Producer"
1952,1953,DOCUMENTARY (Short Subject),Neighbours,"Norman McLaren, Producer"
1952,1953,FILM EDITING,High Noon,"Elmo Williams, Harry Gerstad"
1952,1953,MUSIC (Music Score of a Dramatic or Comedy Picture),High Noon,Dimitri Tiomkin
1952,1953,MUSIC (Scoring of a Musical Picture),With a Song in My Heart,Alfred Newman
1952,1953,MUSIC (Song),High Noon,Music by Dimitri Tiomkin; Lyrics by Ned Washington
1952,1953,SHORT SUBJECT (Cartoon),Johann Mouse,"Fred Quimby, Producer"
1952,1953,SHORT SUBJECT (One-reel),Light in the Window: The Art of Vermeer,"Boris Vermont, Producer"
1952,1953,SHORT SUBJECT (Two-reel),Water Birds,"Walt Disney, Producer"
1952,1953,SOUND RECORDING,Breaking the Sound Barrier,London Film Sound Department
1952,1953,SPECIAL EFFECTS,Plymouth Adventure,Metro-Goldwyn-Mayer
1952,1953,WRITING (Motion Picture Story),The Greatest Show on Earth,"Fredric M. Frank, Theodore St. John, Frank Cavett"
1952,1953,WRITING (Screenplay),The Bad and the Beautiful,Charles Schnee
1952,1953,WRITING (Story and Screenplay),The Lavender Hill Mob,T. E. B. Clarke
1953,1954,ACTOR,Stalag 17,William Holden
1953,1954,ACTOR IN A SUPPORTING ROLE,From Here to Eternity,Frank Sinatra
1953,1954,ACTRESS,Roman Holiday,Audrey Hepburn
1953,1954,ACTRESS IN A SUPPORTING ROLE,From Here to Eternity,Donna Reed
1953,1954,ART DIRECTION (Black-and-White),Julius Caesar,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt"
1953,1954,ART DIRECTION (Color),The Robe,"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox"
1953,1954,BEST MOTION PICTURE,From Here to Eternity,"Buddy Adler, Producer"
1953,1954,CINEMATOGRAPHY (Black-and-White),From Here to Eternity,Burnett Guffey
1953,1954,CINEMATOGRAPHY (Color),Shane,Loyal Griggs
1953,1954,COSTUME DESIGN (Black-and-White),Roman Holiday,Edith Head
1953,1954,COSTUME DESIGN (Color),The Robe,"Charles LeMaire, Emile Santiago"
1953,1954,DIRECTING,From Here to Eternity,Fred Zinnemann
1953,1954,DOCUMENTARY (Feature),The Living Desert,"Walt Disney, Producer"
1953,1954,DOCUMENTARY (Short Subject),The Alaskan Eskimo,"Walt Disney, Producer"
1953,1954,FILM EDITING,From Here to Eternity,William Lyon
1953,1954,MUSIC (Music Score of a Dramatic or Comedy Picture),Lili,Bronislau Kaper
1953,1954,MUSIC (Scoring of a Musical Picture),Call Me Madam,Alfred Newman
1953,1954,MUSIC (Song),Calamity Jane,Music by Sammy Fain; Lyrics by Paul Francis Webster
1953,1954,SHORT SUBJECT (Cartoon),"Toot, Whistle, Plunk and Boom","Walt Disney, Producer"
1953,1954,SHORT SUBJECT (One-reel),The Merry Wives of Windsor Overture,"Johnny Green, Producer"
1953,1954,SHORT SUBJECT (Two-reel),Bear Country,"Walt Disney, Producer"
1953,1954,SOUND RECORDING,From Here to Eternity,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1953,1954,SPECIAL EFFECTS,The War of the Worlds,Paramount Studio
1953,1954,WRITING (Motion Picture Story),Roman Holiday,Dalton Trumbo
1953,1954,WRITING (Screenplay),From Here to Eternity,Daniel Taradash
1953,1954,WRITING (Story and Screenplay),Titanic (1953),"Charles Brackett, Walter Reisch, Richard Breen"
1954,1955,ACTOR,On the Waterfront,Marlon Brando
1954,1955,ACTOR IN A SUPPORTING ROLE,The Barefoot Contessa,Edmond O'Brien
1954,1955,ACTRESS,The Country Girl,Grace Kelly
1954,1955,ACTRESS IN A SUPPORTING ROLE,On the Waterfront,Eva Marie Saint
1954,1955,ART DIRECTION (Black-and-White),On the Waterfront,Richard Day
1954,1955,ART DIRECTION (Color),"20,000 Leagues under the Sea",Art Direction:  John Meehan;  Set Decoration:  Emile Kuri
1954,1955,BEST MOTION PICTURE,On the Waterfront,"Sam Spiegel, Producer"
1954,1955,CINEMATOGRAPHY (Black-and-White),On the Waterfront,Boris Kaufman
1954,1955,CINEMATOGRAPHY (Color),Three Coins in the Fountain,Milton Krasner
1954,1955,COSTUME DESIGN (Black-and-White),Sabrina (1954),Edith Head
1954,1955,COSTUME DESIGN (Color),Gate of Hell,Sanzo Wada
1954,1955,DIRECTING,On the Waterfront,Elia Kazan
1954,1955,DOCUMENTARY (Feature),The Vanishing Prairie,"Walt Disney, Producer"
1954,1955,DOCUMENTARY (Short Subject),Thursday's Children,World Wide Pictures and Morse Films
1954,1955,FILM EDITING,On the Waterfront,Gene Milford
1954,1955,MUSIC (Music Score of a Dramatic or Comedy Picture),The High and the Mighty,Dimitri Tiomkin
1954,1955,MUSIC (Scoring of a Musical Picture),Seven Brides for Seven Brothers,"Adolph Deutsch, Saul Chaplin"
1954,1955,MUSIC (Song),Three Coins in the Fountain,Music by Jule Styne; Lyrics by Sammy Cahn
1954,1955,SHORT SUBJECT (Cartoon),When Magoo Flew,"Stephen Bosustow, Producer"
1954,1955,SHORT SUBJECT (One-reel),This Mechanical Age,"Robert Youngson, Producer"
1954,1955,SHORT SUBJECT (Two-reel),A Time Out of War,"Denis Sanders and Terry Sanders, Producers"
1954,1955,SOUND RECORDING,The Glenn Miller Story,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
1954,1955,SPECIAL EFFECTS,"20,000 Leagues under the Sea",Walt Disney Studios
1954,1955,WRITING (Motion Picture Story),Broken Lance,Philip Yordan
1954,1955,WRITING (Screenplay),The Country Girl,George Seaton
1954,1955,WRITING (Story and Screenplay),On the Waterfront,Budd Schulberg
1955,1956,ACTOR,Marty,Ernest Borgnine
1955,1956,ACTOR IN A SUPPORTING ROLE,Mister Roberts,Jack Lemmon
1955,1956,ACTRESS,The Rose Tattoo,Anna Magnani
1955,1956,ACTRESS IN A SUPPORTING ROLE,East of Eden,Jo Van Fleet
1955,1956,ART DIRECTION (Black-and-White),The Rose Tattoo,"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams"
1955,1956,ART DIRECTION (Color),Picnic,"Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley"
1955,1956,BEST MOTION PICTURE,Marty,"Harold Hecht, Producer"
1955,1956,CINEMATOGRAPHY (Black-and-White),The Rose Tattoo,James Wong Howe
1955,1956,CINEMATOGRAPHY (Color),To Catch a Thief,Robert Burks
1955,1956,COSTUME DESIGN (Black-and-White),I'll Cry Tomorrow,Helen Rose
1955,1956,COSTUME DESIGN (Color),Love Is a Many-Splendored Thing,Charles LeMaire
1955,1956,DIRECTING,Marty,Delbert Mann
1955,1956,DOCUMENTARY (Feature),Helen Keller in Her Story,"Nancy Hamilton, Producer"
1955,1956,DOCUMENTARY (Short Subject),Men against the Arctic,"Walt Disney, Producer"
1955,1956,FILM EDITING,Picnic,"Charles Nelson, William A. Lyon"
1955,1956,MUSIC (Music Score of a Dramatic or Comedy Picture),Love Is a Many-Splendored Thing,Alfred Newman
1955,1956,MUSIC (Scoring of a Musical Picture),Oklahoma!,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch"
1955,1956,MUSIC (Song),Love Is a Many-Splendored Thing,Music by Sammy Fain; Lyrics by Paul Francis Webster
1955,1956,SHORT SUBJECT (Cartoon),Speedy Gonzales,"Edward Selzer, Producer"
1955,1956,SHORT SUBJECT (One-reel),Survival City,"Edmund Reek, Producer"
1955,1956,SHORT SUBJECT (Two-reel),The Face of Lincoln,"Wilbur T. Blume, Producer"
1955,1956,SOUND RECORDING,Oklahoma!,"Todd-AO Sound Department, Fred Hynes, Sound Director"
1955,1956,SPECIAL EFFECTS,The Bridges at Toko-Ri,Paramount Studio
1955,1956,WRITING (Motion Picture Story),Love Me or Leave Me,Daniel Fuchs
1955,1956,WRITING (Screenplay),Marty,Paddy Chayefsky
1955,1956,WRITING (Story and Screenplay),Interrupted Melody,"William Ludwig, Sonya Levien"
1956,1957,ACTOR,The King and I,Yul Brynner
1956,1957,ACTOR IN A SUPPORTING ROLE,Lust for Life,Anthony Quinn
1956,1957,ACTRESS,Anastasia (1956),Ingrid Bergman
1956,1957,ACTRESS IN A SUPPORTING ROLE,Written on the Wind,Dorothy Malone
1956,1957,ART DIRECTION (Black-and-White),Somebody Up There Likes Me,"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason"
1956,1957,ART DIRECTION (Color),The King and I,"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox"
1956,1957,BEST MOTION PICTURE,Around the World in 80 Days,"Michael Todd, Producer"
1956,1957,CINEMATOGRAPHY (Black-and-White),Somebody Up There Likes Me,Joseph Ruttenberg
1956,1957,CINEMATOGRAPHY (Color),Around the World in 80 Days,Lionel Lindon
1956,1957,COSTUME DESIGN (Black-and-White),The Solid Gold Cadillac,Jean Louis
1956,1957,COSTUME DESIGN (Color),The King and I,Irene Sharaff
1956,1957,DIRECTING,Giant,George Stevens
1956,1957,DOCUMENTARY (Feature),The Silent World,"Jacques-Yves Cousteau, Producer"
1956,1957,DOCUMENTARY (Short Subject),The True Story of the Civil War,"Louis Clyde Stoumen, Producer"
1956,1957,FILM EDITING,Around the World in 80 Days,"Gene Ruggiero, Paul Weatherwax"
1956,1957,FOREIGN LANGUAGE FILM,La Strada,"Italy; Dino De Laurentiis and Carlo Ponti, Producers"
1956,1957,MUSIC (Music Score of a Dramatic or Comedy Picture),Around the World in 80 Days,Victor Young
1956,1957,MUSIC (Scoring of a Musical Picture),The King and I,"Alfred Newman, Ken Darby"
1956,1957,MUSIC (Song),The Man Who Knew Too Much,Music and Lyrics by Jay Livingston and Ray Evans
1956,1957,SHORT SUBJECT (Cartoon),Mister Magoo's Puddle Jumper,"Stephen Bosustow, Producer"
1956,1957,SHORT SUBJECT (One-reel),Crashing the Water Barrier,"Konstantin Kalser, Producer"
1956,1957,SHORT SUBJECT (Two-reel),The Bespoke Overcoat,Romulus Films
1956,1957,SOUND RECORDING,The King and I,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director"
1956,1957,SPECIAL EFFECTS,The Ten Commandments,John Fulton
1956,1957,WRITING (Motion Picture Story),The Brave One,Dalton Trumbo
1956,1957,WRITING (Screenplay--Adapted),Around the World in 80 Days,"James Poe, John Farrow, S.J. Perelman"
1956,1957,WRITING (Screenplay--Original),The Red Balloon,Albert Lamorisse
1957,1958,ACTOR,The Bridge on the River Kwai,Alec Guinness
1957,1958,ACTOR IN A SUPPORTING ROLE,Sayonara,Red Buttons
1957,1958,ACTRESS,The Three Faces of Eve,Joanne Woodward
1957,1958,ACTRESS IN A SUPPORTING ROLE,Sayonara,Miyoshi Umeki
1957,1958,ART DIRECTION,Sayonara,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley
1957,1958,BEST MOTION PICTURE,The Bridge on the River Kwai,"Sam Spiegel, Producer"
1957,1958,CINEMATOGRAPHY,The Bridge on the River Kwai,Jack Hildyard
1957,1958,COSTUME DESIGN,Les Girls,Orry-Kelly
1957,1958,DIRECTING,The Bridge on the River Kwai,David Lean
1957,1958,DOCUMENTARY (Feature),Albert Schweitzer,"Jerome Hill, Producer"
1957,1958,FILM EDITING,The Bridge on the River Kwai,Peter Taylor
1957,1958,FOREIGN LANGUAGE FILM,The Nights of Cabiria,Italy
1957,1958,MUSIC (Scoring),The Bridge on the River Kwai,Malcolm Arnold
1957,1958,MUSIC (Song),The Joker Is Wild,Music by James Van Heusen; Lyrics by Sammy Cahn
1957,1958,SHORT SUBJECT (Cartoon),Birds Anonymous,"Edward Selzer, Producer"
1957,1958,SHORT SUBJECT (Live Action),The Wetback Hound,"Larry Lansburgh, Producer"
1957,1958,SOUND RECORDING,Sayonara,"Warner Bros. Studio Sound Department, George Groves, Sound Director"
1957,1958,SPECIAL EFFECTS,The Enemy Below,Audible Effects by Walter Rossi
1957,1958,WRITING (Screenplay--based on material from another medium),The Bridge on the River Kwai,"Michael Wilson, Carl Foreman, Pierre Boulle"
1957,1958,WRITING (Story and Screenplay--written directly for the screen),Designing Woman,George Wells
1958,1959,ACTOR,Separate Tables,David Niven
1958,1959,ACTOR IN A SUPPORTING ROLE,The Big Country,Burl Ives
1958,1959,ACTRESS,I Want to Live!,Susan Hayward
1958,1959,ACTRESS IN A SUPPORTING ROLE,Separate Tables,Wendy Hiller
1958,1959,ART DIRECTION,Gigi,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason"
1958,1959,BEST MOTION PICTURE,Gigi,"Arthur Freed, Producer"
1958,1959,CINEMATOGRAPHY (Black-and-White),The Defiant Ones,Sam Leavitt
1958,1959,CINEMATOGRAPHY (Color),Gigi,Joseph Ruttenberg
1958,1959,COSTUME DESIGN,Gigi,Cecil Beaton
1958,1959,DIRECTING,Gigi,Vincente Minnelli
1958,1959,DOCUMENTARY (Feature),White Wilderness,"Ben Sharpsteen, Producer"
1958,1959,DOCUMENTARY (Short Subject),Ama Girls,"Ben Sharpsteen, Producer"
1958,1959,FILM EDITING,Gigi,Adrienne Fazan
1958,1959,FOREIGN LANGUAGE FILM,My Uncle,France
1958,1959,MUSIC (Music Score of a Dramatic or Comedy Picture),The Old Man and the Sea (1958),Dimitri Tiomkin
1958,1959,MUSIC (Scoring of a Musical Picture),Gigi,Andre Previn
1958,1959,MUSIC (Song),Gigi,Music by Frederick Loewe; Lyrics by Alan Jay Lerner
1958,1959,SHORT SUBJECT (Cartoon),Knighty Knight Bugs,"John W. Burton, Producer"
1958,1959,SHORT SUBJECT (Live Action),Grand Canyon (1958),"Walt Disney, Producer"
1958,1959,SOUND,South Pacific,"Todd-AO Sound Department, Fred Hynes, Sound Director"
1958,1959,SPECIAL EFFECTS,Tom Thumb,Visual Effects by Tom Howard
1958,1959,WRITING (Screenplay--based on material from another medium),Gigi,Alan Jay Lerner
1958,1959,WRITING (Story and Screenplay--written directly for the screen),The Defiant Ones,"Nedrick Young, Harold Jacob Smith"
1959,1960,ACTOR,Ben-Hur,Charlton Heston
1959,1960,ACTOR IN A SUPPORTING ROLE,Ben-Hur,Hugh Griffith
1959,1960,ACTRESS,Room at the Top,Simone Signoret
1959,1960,ACTRESS IN A SUPPORTING ROLE,The Diary of Anne Frank,Shelley Winters
1959,1960,ART DIRECTION (Black-and-White),The Diary of Anne Frank,"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss"
1959,1960,ART DIRECTION (Color),Ben-Hur,"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt"
1959,1960,BEST MOTION PICTURE,Ben-Hur,"Sam Zimbalist, Producer"
1959,1960,CINEMATOGRAPHY (Black-and-White),The Diary of Anne Frank,William C. Mellor
1959,1960,CINEMATOGRAPHY (Color),Ben-Hur,Robert L. Surtees
1959,1960,COSTUME DESIGN (Black-and-White),Some Like It Hot,Orry-Kelly
1959,1960,COSTUME DESIGN (Color),Ben-Hur,Elizabeth Haffenden
1959,1960,DIRECTING,Ben-Hur,William Wyler
1959,1960,DOCUMENTARY (Feature),Serengeti Shall Not Die,"Bernhard Grzimek, Producer"
1959,1960,DOCUMENTARY (Short Subject),Glass,"Bert Haanstra, Producer"
1959,1960,FILM EDITING,Ben-Hur,"Ralph E. Winters, John D. Dunning"
1959,1960,FOREIGN LANGUAGE FILM,Black Orpheus,France
1959,1960,MUSIC (Music Score of a Dramatic or Comedy Picture),Ben-Hur,Miklos Rozsa
1959,1960,MUSIC (Scoring of a Musical Picture),Porgy and Bess,"Andre Previn, Ken Darby"
1959,1960,MUSIC (Song),A Hole in the Head,Music by James Van Heusen; Lyrics by Sammy Cahn
1959,1960,SHORT SUBJECT (Cartoon),Moonbird,"John Hubley, Producer"
1959,1960,SHORT SUBJECT (Live Action),The Golden Fish,"Jacques-Yves Cousteau, Producer"
1959,1960,SOUND,Ben-Hur,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1959,1960,SPECIAL EFFECTS,Ben-Hur,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory"
1959,1960,WRITING (Screenplay--based on material from another medium),Room at the Top,Neil Paterson
1959,1960,WRITING (Story and Screenplay--written directly for the screen),Pillow Talk,"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin"
1960,1961,ACTOR,Elmer Gantry,Burt Lancaster
1960,1961,ACTOR IN A SUPPORTING ROLE,Spartacus,Peter Ustinov
1960,1961,ACTRESS,Butterfield 8,Elizabeth Taylor
1960,1961,ACTRESS IN A SUPPORTING ROLE,Elmer Gantry,Shirley Jones
1960,1961,ART DIRECTION (Black-and-White),The Apartment,Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle
1960,1961,ART DIRECTION (Color),Spartacus,"Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron"
1960,1961,BEST MOTION PICTURE,The Apartment,"Billy Wilder, Producer"
1960,1961,CINEMATOGRAPHY (Black-and-White),Sons and Lovers,Freddie Francis
1960,1961,CINEMATOGRAPHY (Color),Spartacus,Russell Metty
1960,1961,COSTUME DESIGN (Black-and-White),The Facts of Life,"Edith Head, Edward Stevenson"
1960,1961,COSTUME DESIGN (Color),Spartacus,"Valles, Bill Thomas"
1960,1961,DIRECTING,The Apartment,Billy Wilder
1960,1961,DOCUMENTARY (Feature),The Horse with the Flying Tail,"Larry Lansburgh, Producer"
1960,1961,DOCUMENTARY (Short Subject),Giuseppina,"James Hill, Producer"
1960,1961,FILM EDITING,The Apartment,Daniel Mandell
1960,1961,FOREIGN LANGUAGE FILM,The Virgin Spring,Sweden
1960,1961,MUSIC (Music Score of a Dramatic or Comedy Picture),Exodus,Ernest Gold
1960,1961,MUSIC (Scoring of a Musical Picture),Song without End (The Story of Franz Liszt),"Morris Stoloff, Harry Sukman"
1960,1961,MUSIC (Song),Never on Sunday,Music and Lyrics by Manos Hadjidakis
