year_film,year_ceremony,category,film,name
1994,1995,VISUAL EFFECTS,Forrest Gump,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall"
1994,1995,WRITING (Screenplay Based on Material Previously Produced or Published),Forrest Gump,Eric Roth
1994,1995,WRITING (Screenplay Written Directly for the Screen),Pulp Fiction,Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary
1995,1996,ACTOR IN A LEADING ROLE,Leaving Las Vegas,Nicolas Cage
1995,1996,ACTOR IN A SUPPORTING ROLE,The Usual Suspects,Kevin Spacey
1995,1996,ACTRESS IN A LEADING ROLE,Dead Man Walking,Susan Sarandon
1995,1996,ACTRESS IN A SUPPORTING ROLE,Mighty Aphrodite,Mira Sorvino
1995,1996,ART DIRECTION,Restoration,Eugenio Zanetti
1995,1996,BEST PICTURE,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
1995,1996,CINEMATOGRAPHY,Braveheart,John Toll
1995,1996,COSTUME DESIGN,Restoration,James Acheson
1995,1996,DIRECTING,Braveheart,Mel Gibson
1995,1996,DOCUMENTARY (Feature),Anne Frank Remembered,Jon Blair
1995,1996,DOCUMENTARY (Short Subject),One Survivor Remembers,Kary Antholis
1995,1996,FILM EDITING,Apollo 13,"Mike Hill, Dan Hanley"
1995,1996,FOREIGN LANGUAGE FILM,Antonia's Line,The Netherlands
1995,1996,MAKEUP,Braveheart,"Peter Frampton, Paul Pattison, Lois Burwell"
1995,1996,MUSIC (Original Dramatic Score),The Postman (Il Postino),Luis Enrique Bacalov
1995,1996,MUSIC (Original Musical or Comedy Score),Pocahontas,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
1995,1996,MUSIC (Original Song),Pocahontas,Music by Alan Menken; Lyric by Stephen Schwartz
1995,1996,SHORT FILM (Animated),A Close Shave,Nick Park
1995,1996,SHORT FILM (Live Action),Lieberman in Love,"Christine Lahti, Jana Sue Memel"
1995,1996,SOUND,Apollo 13,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan"
1995,1996,SOUND EFFECTS EDITING,Braveheart,"Lon Bender, Per Hallberg"
1995,1996,VISUAL EFFECTS,Babe,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox"
1995,1996,WRITING (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Emma Thompson
1995,1996,WRITING (Screenplay Written Directly for the Screen),The Usual Suspects,Christopher McQuarrie
1996,1997,ACTOR IN A LEADING ROLE,Shine,Geoffrey Rush
1996,1997,ACTOR IN A SUPPORTING ROLE,Jerry Maguire,"Cuba Gooding, Jr."
1996,1997,ACTRESS IN A LEADING ROLE,Fargo,Frances McDormand
1996,1997,ACTRESS IN A SUPPORTING ROLE,The English Patient,Juliette Binoche
1996,1997,ART DIRECTION,The English Patient,Art Direction:  Stuart Craig;  Set Decoration:  Stephenie McMillan
1996,1997,BEST PICTURE,The English Patient,"Saul Zaentz, Producer"
1996,1997,CINEMATOGRAPHY,The English Patient,John Seale
1996,1997,COSTUME DESIGN,The English Patient,Ann Roth
1996,1997,DIRECTING,The English Patient,Anthony Minghella
1996,1997,DOCUMENTARY (Feature),When We Were Kings,"Leon Gast, David Sonenberg"
1996,1997,DOCUMENTARY (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Jessica Yu
1996,1997,FILM EDITING,The English Patient,Walter Murch
1996,1997,FOREIGN LANGUAGE FILM,Kolya,Czech Republic
1996,1997,MAKEUP,The Nutty Professor,"Rick Baker, David LeRoy Anderson"
1996,1997,MUSIC (Original Dramatic Score),The English Patient,Gabriel Yared
1996,1997,MUSIC (Original Musical or Comedy Score),Emma (1996),Rachel Portman
1996,1997,MUSIC (Original Song),Evita,Music by Andrew Lloyd Webber; Lyric by Tim Rice
1996,1997,SHORT FILM (Animated),Quest,"Tyron Montgomery, Thomas Stellmach"
1996,1997,SHORT FILM (Live Action),Dear Diary,"David Frankel, Barry Jossen"
1996,1997,SOUND,The English Patient,"Walter Murch, Mark Berger, David Parker, Chris Newman"
1996,1997,SOUND EFFECTS EDITING,The Ghost and the Darkness,Bruce Stambler
1996,1997,VISUAL EFFECTS,Independence Day,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil"
1996,1997,WRITING (Screenplay Based on Material Previously Produced or Published),Sling Blade,Billy Bob Thornton
1996,1997,WRITING (Screenplay Written Directly for the Screen),Fargo,"Ethan Coen, Joel Coen"
1997,1998,ACTOR IN A LEADING ROLE,As Good as It Gets,Jack Nicholson
1997,1998,ACTOR IN A SUPPORTING ROLE,Good Will Hunting,Robin Williams
1997,1998,ACTRESS IN A LEADING ROLE,As Good as It Gets,Helen Hunt
1997,1998,ACTRESS IN A SUPPORTING ROLE,L.A. Confidential,Kim Basinger
1997,1998,ART DIRECTION,Titanic (1997),Art Direction:  Peter Lamont;  Set Decoration:  Michael Ford
1997,1998,BEST PICTURE,Titanic (1997),"James Cameron and Jon Landau, Producers"
1997,1998,CINEMATOGRAPHY,Titanic (1997),Russell Carpenter
1997,1998,COSTUME DESIGN,Titanic (1997),Deborah L. Scott
