1931,Chemistry,Friedrich Bergius,1884-10-11
1931,Literature,Erik Axel Karlfeldt,1864-07-20
1931,Medicine,Otto Warburg,1883-10-08
1931,Peace,Jane Addams,1860-09-06
1931,Peace,Nicholas Murray Butler,1862-04-02
1932,Chemistry,Irving Langmuir,1881-01-31
1932,Literature,John Galsworthy,1867-08-14
1932,Medicine,Edgar Adrian,1889-11-30
1932,Medicine,Sir Charles Sherrington,1857-11-27
1932,Physics,Werner Heisenberg,1901-12-05
1933,Literature,Ivan Bunin,1870-10-22
1933,Medicine,Thomas H. Morgan,1866-09-25
1933,Peace,Sir Norman Angell,1872-12-26
1933,Physics,Erwin Schrödinger,1887-08-12
1933,Physics,Paul A.M. Dirac,1902-08-08
1934,Chemistry,Harold C. Urey,1893-04-29
1934,Literature,Luigi Pirandello,1867-06-28
1934,Medicine,George H. Whipple,1878-08-28
1934,Medicine,George R. Minot,1885-12-02
1934,Medicine,William P. Murphy,1892-02-06
1934,Peace,Arthur Henderson,1863-09-13
1935,Chemistry,Frédéric Joliot,1900-03-19
1935,Chemistry,Irène Joliot-Curie,1897-09-12
1935,Medicine,Hans Spemann,1869-06-27
1935,Peace,Carl von Ossietzky,1889-10-03
1935,Physics,James Chadwick,1891-10-20
1936,Chemistry,Peter Debye,1884-03-24
1936,Literature,Eugene O'Neill,1888-10-16
1936,Medicine,Otto Loewi,1873-06-03
1936,Medicine,Sir Henry Dale,1875-06-09
1936,Peace,Carlos Saavedra Lamas,1878-11-01
1936,Physics,Carl D. Anderson,1905-09-03
1936,Physics,Victor F. Hess,1883-06-24
1937,Chemistry,Norman Haworth,1883-03-19
1937,Chemistry,Paul Karrer,1889-04-21
1937,Literature,Roger Martin du Gard,1881-03-23
1937,Medicine,Albert Szent-Györgyi,1893-09-16
1937,Peace,Robert Cecil,1864-09-14
1937,Physics,Clinton Davisson,1881-10-22
1937,Physics,George Paget Thomson,1892-05-03
1938,Chemistry,Richard Kuhn,1900-12-03
1938,Literature,Pearl Buck,1892-06-26
1938,Medicine,Corneille Heymans,1892-03-28
1938,Peace,Nansen International Office for Refugees,
1938,Physics,Enrico Fermi,1901-09-29
1939,Chemistry,Adolf Butenandt,1903-03-24
1939,Chemistry,Leopold Ruzicka,1887-09-13
1939,Literature,Frans Eemil Sillanpää,1888-09-16
1939,Medicine,Gerhard Domagk,1895-10-30
1939,Physics,Ernest Lawrence,1901-08-08
1943,Chemistry,George de Hevesy,1885-08-01
1943,Medicine,Edward A. Doisy,1893-11-13
1943,Medicine,Henrik Dam,1895-02-21
1943,Physics,Otto Stern,1888-02-17
1944,Chemistry,Otto Hahn,1879-03-08
1944,Literature,Johannes V. Jensen,1873-01-20
1944,Medicine,Herbert S. Gasser,1888-07-05
1944,Medicine,Joseph Erlanger,1874-01-05
1944,Peace,International Committee of the Red Cross,
1944,Physics,Isidor Isaac Rabi,1898-07-29
1945,Chemistry,Artturi Virtanen,1895-01-15
1945,Literature,Gabriela Mistral,1889-04-07
1945,Medicine,Ernst B. Chain,1906-06-19
1945,Medicine,Sir Alexander Fleming,1881-08-06
1945,Medicine,Sir Howard Florey,1898-09-24
1945,Peace,Cordell Hull,1871-10-02
1945,Physics,Wolfgang Pauli,1900-04-25
1946,Chemistry,James B. Sumner,1887-11-19
1946,Chemistry,John H. Northrop,1891-07-05
1946,Chemistry,Wendell M. Stanley,1904-08-16
1946,Literature,Hermann Hesse,1877-07-02
1946,Medicine,Hermann J. Muller,1890-12-21
1946,Peace,Emily Greene Balch,1867-01-08
1946,Peace,John R. Mott,1865-05-25
1946,Physics,Percy W. Bridgman,1882-04-21
1947,Chemistry,Sir Robert Robinson,1886-09-13
1947,Literature,André Gide,1869-11-22
1947,Medicine,Bernardo Houssay,1887-04-10
1947,Medicine,Carl Cori,1896-12-05
1947,Medicine,Gerty Cori,1896-08-15
1947,Peace,American Friends Service Committee,
1947,Peace,Friends Service Council,
1947,Physics,Edward V. Appleton,1892-09-06
1948,Chemistry,Arne Tiselius,1902-08-10
1948,Literature,T.S. Eliot,1888-09-26
1948,Medicine,Paul Müller,1899-01-12
1948,Physics,Patrick M.S. Blackett,1897-11-18
1949,Chemistry,William F. Giauque,1895-05-12
1949,Literature,William Faulkner,1897-09-25
1949,Medicine,Egas Moniz,1874-11-29
1949,Medicine,Walter Hess,1881-03-17
1949,Peace,John Boyd Orr,1880-09-23
1949,Physics,Hideki Yukawa,1907-01-23
1950,Chemistry,Kurt Alder,1902-07-10
1950,Chemistry,Otto Diels,1876-01-23
1950,Literature,Bertrand Russell,1872-05-18
1950,Medicine,Edward C. Kendall,1886-03-08
1950,Medicine,Philip S. Hench,1896-02-28
1950,Medicine,Tadeus Reichstein,1897-07-20
1950,Peace,Ralph Bunche,1904-08-07
1950,Physics,Cecil Powell,1903-12-05
1951,Chemistry,Edwin M. McMillan,1907-09-18
1951,Chemistry,Glenn T. Seaborg,1912-04-19
1951,Literature,Pär Lagerkvist,1891-05-23
1951,Medicine,Max Theiler,1899-01-30
1951,Peace,Léon Jouhaux,1879-07-01
1951,Physics,Ernest T.S. Walton,1903-10-06
1951,Physics,John Cockcroft,1897-05-27
1952,Chemistry,Archer J.P. Martin,1910-03-01
1952,Chemistry,Richard L.M. Synge,1914-10-28
1952,Literature,François Mauriac,1885-10-11
1952,Medicine,Selman A. Waksman,1888-07-22
1952,Peace,Albert Schweitzer,1875-01-14
1952,Physics,E. M. Purcell,1912-08-30
1952,Physics,Felix Bloch,1905-10-23
1953,Chemistry,Hermann Staudinger,1881-03-23
1953,Literature,Winston Churchill,1874-11-30
1953,Medicine,Fritz Lipmann,1899-06-12
1953,Medicine,Hans Krebs,1900-08-25
1953,Peace,George C. Marshall,1880-12-31
1953,Physics,Frits Zernike,1888-07-16
1954,Chemistry,Linus Pauling,1901-02-28
1954,Literature,Ernest Hemingway,1899-07-21
1954,Medicine,Frederick C. Robbins,1916-08-25
1954,Medicine,John F. Enders,1897-02-10
1954,Medicine,Thomas H. Weller,1915-06-15
1954,Peace,Office of the United Nations High Commissioner for Refugees,1950-12-14
1954,Physics,Max Born,1882-12-11
1954,Physics,Walther Bothe,1891-01-08
1955,Chemistry,Vincent du Vigneaud,1901-05-18
1955,Literature,Halldór Laxness,1902-04-23
1955,Medicine,Hugo Theorell,1903-07-06
1955,Physics,Polykarp Kusch,1911-01-26
1955,Physics,Willis E. Lamb,1913-07-12
1956,Chemistry,Nikolay Semenov,1896-04-03
1956,Chemistry,Sir Cyril Hinshelwood,1897-05-19
1956,Literature,Juan Ramón Jiménez,1881-12-24
1956,Medicine,André F. Cournand,1895-09-24
1956,Medicine,Dickinson W. Richards,1895-10-30
1956,Medicine,Werner Forssmann,1904-08-29
1956,Physics,John Bardeen,1908-05-23
1956,Physics,Walter H. Brattain,1902-02-10
1956,Physics,William B. Shockley,1910-02-13
1957,Chemistry,Lord Todd,1907-10-02
1957,Literature,Albert Camus,1913-11-07
1957,Medicine,Daniel Bovet,1907-03-23
1957,Peace,Lester Bowles Pearson,1897-04-23
1957,Physics,Chen Ning Yang,1922-09-22
1957,Physics,Tsung-Dao Lee,1926-11-24
1958,Chemistry,Frederick Sanger,1918-08-13
1958,Literature,Boris Pasternak,1890-02-10
